SOBAODANH,diem_trung_binh
18000616,4.72
18000617,4.5
18000618,4.8125
18000619,5.495
18000620,3.7824999999999998
18000621,5.3075
18000622,4.1875
18000623,3.8125
18000624,4.1875
18000626,4.925
18000627,4.75
18000628,4.57
18000629,5.52
18000630,4.195
18000631,4.8075
18000632,3.8125
18000633,5.22
18000634,4.8825
18000635,4.7125
18000636,3.65
18000637,4.625
18000638,4.3125
18000639,4.22
18000640,4.25
18000641,4.625
18000642,4.9
18000643,4.75
18000644,3.9375
18000645,5.375
18000646,3.5
18000647,4.7825
18000648,4.22
18000649,5.25
18000650,5.125
18000651,5.0575
18000652,5.095
18000653,4.0325
18000654,3.15
18000655,3.2199999999999998
18000656,5.62
18000657,4.5575
18000658,5.125
18000659,4.0
18000660,3.8125
18000661,4.6325
18000662,4.2575
18000663,4.9875
18000664,3.9375
18000665,4.1625
18000666,5.2
18000667,3.75
18000668,5.125
18000669,4.0
18000670,4.22
18000671,4.47
18000672,4.325
18000673,3.7125
18000674,4.0825
18000675,4.7375
18000676,4.5625
18000677,4.3125
18000678,4.47
18000679,4.0625
18000680,3.9074999999999998
18000681,4.4075
18000682,4.72
18000683,4.595
18000684,4.845
18000685,4.8075
18000686,4.5625
18000687,5.5125
18000688,5.0
18000689,4.9375
18000690,4.0325
18000691,4.65
18000692,5.1375
18000693,5.5625
18000694,4.095
18000695,4.6575
18000696,5.0375
18000697,3.125
18000698,4.995
18000699,4.145
18000700,5.595
18000701,4.47
18000702,4.42
18000703,3.9074999999999998
18000704,5.0625
18000705,3.7199999999999998
18000706,4.625
18000707,4.0325
18000708,3.9375
18000709,5.8625
18000710,3.9375
18000711,4.5
18000712,3.8125
18000713,5.125
18000714,4.695
18000715,4.1875
18000716,4.8125
18000717,4.72
18000718,3.1574999999999998
18000719,5.25
18000720,4.0625
18000721,4.9
18000722,5.6075
18000723,4.75
18000724,4.97
18000725,5.2825
18000726,4.6875
18000727,5.62
18000728,2.025
18000729,4.0325
18000730,4.3125
18000731,4.595
18000732,3.375
18000733,4.15
18000734,4.5375
18000735,3.1875
18000736,3.875
18000737,3.775
18000738,3.55
18000739,4.3125
18000740,3.55
18000741,4.7125
18000742,4.895
18000743,4.6575
18000744,4.9325
18000745,5.0625
18000746,4.6075
18000747,4.125
18000748,4.7075
18000749,4.5625
18000750,4.495
18000751,4.495
18000752,3.5375
18000753,4.995
18000754,4.275
18000755,4.1875
18000756,3.1875
18000757,3.25
18000758,4.975
18000759,4.845
18000760,4.6875
18000761,4.875
18000762,4.875
18000763,4.0
18000764,4.0
18000765,3.775
18000766,5.2125
18000767,1.625
18000768,4.1625
18000769,4.5
18000770,4.875
18000771,2.6666666666666665
18000772,4.75
18000773,3.6574999999999998
18000774,2.9375
18000775,5.4375
18000776,4.795
18000777,3.42
18000778,4.6875
18000779,4.25
18000780,3.8125
18000781,5.3075
18000782,4.25
18000783,5.2825
18000784,5.0875
18000785,4.6575
18000786,4.4375
18000787,4.625
18000788,5.0325
18000789,4.845
18000790,4.495
18000791,4.5325
18000792,4.8875
18000793,3.9375
18000794,3.7875
18000795,4.87
18000796,4.9
18000797,4.3375
18000798,6.125
18000799,5.1875
18000800,4.65
18000801,4.5
18000802,4.5575
18000803,4.895
18000804,4.275
18000805,5.125
18000806,5.12
18000807,4.4375
18000808,4.0625
18000809,4.5125
18000810,4.125
18000811,4.375
18000812,4.5
18000813,4.4075
18000814,5.095
18000815,4.65
18000816,4.7625
18000817,4.35
18000818,2.9375
18000819,4.595
18000820,2.5625
18000821,3.1625
18000822,4.0
18000823,4.5625
18000824,3.775
18000825,5.4
18000826,3.6875
18000827,5.25
18000828,3.3125
18000829,4.15
18000830,4.0
18000831,4.4375
18000832,5.2825
18000833,4.8075
